goos: linux
goarch: amd64
pkg: goalgo/roaring_bitmaps/bench
cpu: AMD Ryzen AI 9 HX PRO 370 w/ Radeon 890M       
,./roaring_bitmaps/bench_results_count10.txt,
,sec/op,CI
Build/runopt=off/data=sparse-24,0.041229169,6%
Build/runopt=off/data=runs-24,0.0008289980000000001,2%
Build/runopt=off/data=zipf-24,0.006236862,1%
Build/runopt=on/data=sparse-24,0.046520423500000005,13%
Build/runopt=on/data=runs-24,0.0009383035000000001,4%
Build/runopt=on/data=zipf-24,0.0067000945,5%
Memory/runopt=off/data=sparse-24,5.3641500000000005e-05,3%
Memory/runopt=off/data=runs-24,1.0520000000000001e-08,4%
Memory/runopt=off/data=zipf-24,3.2775e-07,1%
Memory/runopt=on/data=sparse-24,5.32545e-05,3%
Memory/runopt=on/data=runs-24,1.034e-08,1%
Memory/runopt=on/data=zipf-24,3.2495e-07,0%
Contains/runopt=off/data=sparse-24,9.2345e-08,1%
Contains/runopt=off/data=runs-24,5.7495e-09,3%
Contains/runopt=off/data=zipf-24,3.6815e-08,3%
Contains/runopt=on/data=sparse-24,9.2515e-08,14%
Contains/runopt=on/data=runs-24,1.5775e-08,3%
Contains/runopt=on/data=zipf-24,2.1515e-08,1%
And/runopt=off/data=sparse-24,0.0032484690000000004,8%
And/runopt=off/data=runs-24,2.0762000000000002e-05,9%
And/runopt=off/data=zipf-24,0.00020886150000000003,15%
And/runopt=on/data=sparse-24,0.004914188,42%
And/runopt=on/data=runs-24,1.2565000000000002e-06,11%
And/runopt=on/data=zipf-24,2.3125e-05,10%
Or/runopt=off/data=sparse-24,0.0043530955,17%
Or/runopt=off/data=runs-24,1.1875e-05,18%
Or/runopt=off/data=zipf-24,0.00041137,16%
Or/runopt=on/data=sparse-24,0.0040971424999999995,8%
Or/runopt=on/data=runs-24,1.955e-06,8%
Or/runopt=on/data=zipf-24,4.6817500000000004e-05,9%
AndNot/runopt=off/data=sparse-24,0.004419224000000001,26%
AndNot/runopt=off/data=runs-24,1.16985e-05,14%
AndNot/runopt=off/data=zipf-24,0.00027900500000000003,13%
AndNot/runopt=on/data=sparse-24,0.0037284650000000003,14%
AndNot/runopt=on/data=runs-24,1.6035e-06,16%
AndNot/runopt=on/data=zipf-24,2.86975e-05,22%
Xor/runopt=off/data=sparse-24,0.004072847500000001,25%
Xor/runopt=off/data=runs-24,1.2000500000000001e-05,13%
Xor/runopt=off/data=zipf-24,0.00041218000000000006,6%
Xor/runopt=on/data=sparse-24,0.004135172,9%
Xor/runopt=on/data=runs-24,4.2000000000000004e-06,13%
Xor/runopt=on/data=zipf-24,0.0001285705,4%
AndCardinality/runopt=off/data=sparse-24,0.003385407,12%
AndCardinality/runopt=off/data=runs-24,1.4555e-06,4%
AndCardinality/runopt=off/data=zipf-24,0.00019255250000000003,23%
AndCardinality/runopt=on/data=sparse-24,0.0034402190000000004,9%
AndCardinality/runopt=on/data=runs-24,1.1895000000000002e-06,14%
AndCardinality/runopt=on/data=zipf-24,2.22695e-05,8%
SerializedSize/codec=raw/data=sparse-24,4.207e-10,4%
