# go test -run='^$' -bench=. -benchmem -benchtime=200ms -count=10 ./roaring_bitmaps/bench
# ROARING_N=200000 (default), amd64 AVX-512, GOEXPERIMENT=simd, packed containers


goos: linux
goarch: amd64
pkg: goalgo/roaring_bitmaps/bench
cpu: AMD Ryzen AI 9 HX PRO 370 w/ Radeon 890M       
BenchmarkBuild/version=v1/data=sparse-24         	       5	  47530463 ns/op	 3928184 B/op	   94646 allocs/op
BenchmarkBuild/version=v1/data=sparse-24         	       4	  50664294 ns/op	 3926008 B/op	   94643 allocs/op
BenchmarkBuild/version=v1/data=sparse-24         	       4	  50174016 ns/op	 3926012 B/op	   94643 allocs/op
BenchmarkBuild/version=v1/data=sparse-24         	       5	  47666713 ns/op	 3926011 B/op	   94643 allocs/op
BenchmarkBuild/version=v1/data=sparse-24         	       5	  48339366 ns/op	 3926052 B/op	   94643 allocs/op
BenchmarkBuild/version=v1/data=sparse-24         	       4	  69208327 ns/op	 3926004 B/op	   94643 allocs/op
BenchmarkBuild/version=v1/data=sparse-24         	       5	  49125774 ns/op	 3926011 B/op	   94643 allocs/op
BenchmarkBuild/version=v1/data=sparse-24         	       5	  45855685 ns/op	 3926011 B/op	   94643 allocs/op
BenchmarkBuild/version=v1/data=sparse-24         	       5	  50356394 ns/op	 3926011 B/op	   94643 allocs/op
BenchmarkBuild/version=v1/data=sparse-24         	       5	  45422202 ns/op	 3926008 B/op	   94643 allocs/op
BenchmarkBuild/version=v1/data=runs-24           	     265	    939138 ns/op	  529218 B/op	     201 allocs/op
BenchmarkBuild/version=v1/data=runs-24           	     246	    938469 ns/op	  529216 B/op	     201 allocs/op
BenchmarkBuild/version=v1/data=runs-24           	     244	    967141 ns/op	  529217 B/op	     201 allocs/op
BenchmarkBuild/version=v1/data=runs-24           	     253	   1000816 ns/op	  529217 B/op	     201 allocs/op
BenchmarkBuild/version=v1/data=runs-24           	     238	    960123 ns/op	  529217 B/op	     201 allocs/op
BenchmarkBuild/version=v1/data=runs-24           	     267	    952158 ns/op	  529217 B/op	     201 allocs/op
BenchmarkBuild/version=v1/data=runs-24           	     241	    970957 ns/op	  529216 B/op	     201 allocs/op
BenchmarkBuild/version=v1/data=runs-24           	     193	   1166760 ns/op	  529217 B/op	     201 allocs/op
BenchmarkBuild/version=v1/data=runs-24           	     236	   1031810 ns/op	  529217 B/op	     201 allocs/op
BenchmarkBuild/version=v1/data=runs-24           	     253	    945967 ns/op	  529217 B/op	     201 allocs/op
BenchmarkBuild/version=v1/data=zipf-24           	      10	  20506274 ns/op	 1420724 B/op	   16354 allocs/op
BenchmarkBuild/version=v1/data=zipf-24           	      12	  18480352 ns/op	 1420722 B/op	   16354 allocs/op
BenchmarkBuild/version=v1/data=zipf-24           	      13	  18784890 ns/op	 1420721 B/op	   16354 allocs/op
BenchmarkBuild/version=v1/data=zipf-24           	      12	  19446077 ns/op	 1420721 B/op	   16354 allocs/op
BenchmarkBuild/version=v1/data=zipf-24           	      12	  17715015 ns/op	 1420724 B/op	   16354 allocs/op
