goos: linux
goarch: amd64
pkg: goalgo/roaring_bitmaps/bench
cpu: AMD Ryzen AI 9 HX PRO 370 w/ Radeon 890M       
,./roaring_bitmaps/bench_results_simd_count10.txt,
,sec/op,CI
SIMDContains/simd=off/data=sparse-24,8.976500000000001e-08,2%
SIMDContains/simd=off/data=runs-24,4.986000000000001e-09,1%
SIMDContains/simd=off/data=zipf-24,3.6725000000000006e-08,3%
SIMDAnd/simd=off/data=sparse-24,0.0031552135,8%
SIMDAnd/simd=off/data=runs-24,3.23e-05,11%
SIMDAnd/simd=off/data=zipf-24,0.000258672,3%
SIMDOr/simd=off/data=sparse-24,0.004294745,14%
SIMDOr/simd=off/data=runs-24,1.75555e-05,20%
SIMDOr/simd=off/data=zipf-24,0.00040873900000000003,7%
SIMDAndNot/simd=off/data=sparse-24,0.0038524265000000005,35%
SIMDAndNot/simd=off/data=runs-24,1.58805e-05,8%
SIMDAndNot/simd=off/data=zipf-24,0.00025625850000000005,11%
SIMDXor/simd=off/data=sparse-24,0.003771261,12%
SIMDXor/simd=off/data=runs-24,2.05005e-05,4%
SIMDXor/simd=off/data=zipf-24,0.000376987,5%
SIMDAndCardinality/simd=off/data=sparse-24,0.0030841040000000003,3%
SIMDAndCardinality/simd=off/data=runs-24,3.6155000000000004e-06,3%
SIMDAndCardinality/simd=off/data=zipf-24,0.000251213,6%
SIMDToArray/simd=off/data=sparse-24,0.0005709405,20%
SIMDToArray/simd=off/data=runs-24,0.000206963,16%
SIMDToArray/simd=off/data=zipf-24,0.000140304,6%
SIMDContains/simd=on/data=sparse-24,9.087e-08,2%
SIMDContains/simd=on/data=runs-24,4.879e-09,3%
SIMDContains/simd=on/data=zipf-24,3.6125e-08,1%
SIMDAnd/simd=on/data=sparse-24,0.003424593,29%
SIMDAnd/simd=on/data=runs-24,2.1613e-05,11%
SIMDAnd/simd=on/data=zipf-24,0.00020561750000000001,11%
SIMDOr/simd=on/data=sparse-24,0.004021888,29%
SIMDOr/simd=on/data=runs-24,1.322e-05,16%
SIMDOr/simd=on/data=zipf-24,0.000465691,4%
SIMDAndNot/simd=on/data=sparse-24,0.0035971355,29%
SIMDAndNot/simd=on/data=runs-24,1.20875e-05,13%
SIMDAndNot/simd=on/data=zipf-24,0.000287328,11%
SIMDXor/simd=on/data=sparse-24,0.004341966,20%
SIMDXor/simd=on/data=runs-24,1.2108500000000001e-05,14%
SIMDXor/simd=on/data=zipf-24,0.000500384,13%
SIMDAndCardinality/simd=on/data=sparse-24,0.0034738515,13%
SIMDAndCardinality/simd=on/data=runs-24,1.4285e-06,2%
SIMDAndCardinality/simd=on/data=zipf-24,0.000189531,5%
SIMDToArray/simd=on/data=sparse-24,0.000534388,9%
SIMDToArray/simd=on/data=runs-24,0.00016115300000000003,7%
SIMDToArray/simd=on/data=zipf-24,0.000121063,9%
geomean,6.35863305471852e-05,

,./roaring_bitmaps/bench_results_simd_count10.txt,
,B/op,CI
SIMDContains/simd=off/data=sparse-24,0,0%
SIMDContains/simd=off/data=runs-24,0,0%
SIMDContains/simd=off/data=zipf-24,0,0%
SIMDAnd/simd=off/data=sparse-24,2.468085e+06,0%
SIMDAnd/simd=off/data=runs-24,144000,0%
SIMDAnd/simd=off/data=zipf-24,376352,0%
SIMDOr/simd=off/data=sparse-24,4.5631725e+06,0%
SIMDOr/simd=off/data=runs-24,99456,0%
SIMDOr/simd=off/data=zipf-24,906986,0%
SIMDAndNot/simd=off/data=sparse-24,4.115941e+06,0%
SIMDAndNot/simd=off/data=runs-24,99456,0%
SIMDAndNot/simd=off/data=zipf-24,433641,0%
SIMDXor/simd=off/data=sparse-24,4.5631725e+06,0%
SIMDXor/simd=off/data=runs-24,99456,0%
SIMDXor/simd=off/data=zipf-24,898794,0%
SIMDAndCardinality/simd=off/data=sparse-24,2.467371e+06,0%
SIMDAndCardinality/simd=off/data=runs-24,0,0%
SIMDAndCardinality/simd=off/data=zipf-24,327168,0%
SIMDToArray/simd=off/data=sparse-24,802816,0%
SIMDToArray/simd=off/data=runs-24,1.15098e+06,0%
SIMDToArray/simd=off/data=zipf-24,853760,0%
SIMDContains/simd=on/data=sparse-24,0,0%
SIMDContains/simd=on/data=runs-24,0,0%
SIMDContains/simd=on/data=zipf-24,0,0%
SIMDAnd/simd=on/data=sparse-24,2.468084e+06,0%
SIMDAnd/simd=on/data=runs-24,144000,0%
SIMDAnd/simd=on/data=zipf-24,376352,0%
SIMDOr/simd=on/data=sparse-24,4.563173e+06,0%
SIMDOr/simd=on/data=runs-24,99456,0%
SIMDOr/simd=on/data=zipf-24,906985,0%
SIMDAndNot/simd=on/data=sparse-24,4.11594e+06,0%
SIMDAndNot/simd=on/data=runs-24,99456,0%
SIMDAndNot/simd=on/data=zipf-24,433641,0%
SIMDXor/simd=on/data=sparse-24,4.563171e+06,0%
SIMDXor/simd=on/data=runs-24,99456,0%
SIMDXor/simd=on/data=zipf-24,898793.5,0%
SIMDAndCardinality/simd=on/data=sparse-24,2.467371e+06,0%
SIMDAndCardinality/simd=on/data=runs-24,0,0%
SIMDAndCardinality/simd=on/data=zipf-24,327168.5,0%
SIMDToArray/simd=on/data=sparse-24,802816,0%
SIMDToArray/simd=on/data=runs-24,1.1509805e+06,0%
SIMDToArray/simd=on/data=zipf-24,853760,0%
geomean,,

,./roaring_bitmaps/bench_results_simd_count10.txt,
,allocs/op,CI
SIMDContains/simd=off/data=sparse-24,0,0%
SIMDContains/simd=off/data=runs-24,0,0%
SIMDContains/simd=off/data=zipf-24,0,0%
SIMDAnd/simd=off/data=sparse-24,65239,0%
SIMDAnd/simd=off/data=runs-24,39,0%
SIMDAnd/simd=off/data=zipf-24,664,0%
SIMDOr/simd=off/data=sparse-24,65580,0%
SIMDOr/simd=off/data=runs-24,33,0%
SIMDOr/simd=off/data=zipf-24,849,0%
SIMDAndNot/simd=off/data=sparse-24,65424,0%
SIMDAndNot/simd=off/data=runs-24,33,0%
SIMDAndNot/simd=off/data=zipf-24,745,0%
SIMDXor/simd=off/data=sparse-24,65580,0%
SIMDXor/simd=off/data=runs-24,33,0%
SIMDXor/simd=off/data=zipf-24,848,0%
SIMDAndCardinality/simd=off/data=sparse-24,65228,0%
SIMDAndCardinality/simd=off/data=runs-24,0,0%
SIMDAndCardinality/simd=off/data=zipf-24,634,0%
SIMDToArray/simd=off/data=sparse-24,1,0%
SIMDToArray/simd=off/data=runs-24,13,0%
SIMDToArray/simd=off/data=zipf-24,6,0%
SIMDContains/simd=on/data=sparse-24,0,0%
SIMDContains/simd=on/data=runs-24,0,0%
SIMDContains/simd=on/data=zipf-24,0,0%
SIMDAnd/simd=on/data=sparse-24,65239,0%
SIMDAnd/simd=on/data=runs-24,39,0%
SIMDAnd/simd=on/data=zipf-24,664,0%
SIMDOr/simd=on/data=sparse-24,65580,0%
SIMDOr/simd=on/data=runs-24,33,0%
SIMDOr/simd=on/data=zipf-24,849,0%
SIMDAndNot/simd=on/data=sparse-24,65424,0%
SIMDAndNot/simd=on/data=runs-24,33,0%
SIMDAndNot/simd=on/data=zipf-24,745,0%
SIMDXor/simd=on/data=sparse-24,65580,0%
SIMDXor/simd=on/data=runs-24,33,0%
SIMDXor/simd=on/data=zipf-24,848,0%
SIMDAndCardinality/simd=on/data=sparse-24,65228,0%
