goos: linux
goarch: amd64
pkg: goalgo/roaring_bitmaps/bench
cpu: AMD Ryzen AI 9 HX PRO 370 w/ Radeon 890M       
BenchmarkSIMDContains/simd=off/data=sparse-24         	 1000000	       242.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=sparse-24         	 1000000	       240.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=sparse-24         	 1000000	       235.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=sparse-24         	 1000000	       236.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=sparse-24         	 1000000	       225.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=sparse-24         	 1000000	       225.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=sparse-24         	 1000000	       236.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=sparse-24         	  952932	       230.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=sparse-24         	 1000000	       236.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=sparse-24         	 1000000	       236.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=runs-24           	20688888	        11.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=runs-24           	21052102	        11.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=runs-24           	10510902	        21.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=runs-24           	20760139	        13.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=runs-24           	18816068	        11.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=runs-24           	18873930	        12.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=runs-24           	21169719	        11.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=runs-24           	20322271	        12.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=runs-24           	18734403	        12.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=runs-24           	21977305	        12.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=zipf-24           	 1000000	       217.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=zipf-24           	 1209108	       198.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=zipf-24           	 1000000	       204.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=zipf-24           	 1000000	       202.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=zipf-24           	 1000000	       200.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=zipf-24           	 1000000	       203.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=zipf-24           	 1209218	       200.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=zipf-24           	 1219370	       197.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=zipf-24           	 1000000	       202.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDContains/simd=off/data=zipf-24           	 1000000	       214.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMDAnd/simd=off/data=sparse-24              	      27	   8945799 ns/op	 2468080 B/op	   65239 allocs/op
BenchmarkSIMDAnd/simd=off/data=sparse-24              	      22	  10337705 ns/op	 2468589 B/op	   65239 allocs/op
BenchmarkSIMDAnd/simd=off/data=sparse-24              	      25	   8810794 ns/op	 2468090 B/op	   65239 allocs/op
BenchmarkSIMDAnd/simd=off/data=sparse-24              	      24	   8956175 ns/op	 2468080 B/op	   65239 allocs/op
BenchmarkSIMDAnd/simd=off/data=sparse-24              	      30	   8094741 ns/op	 2468084 B/op	   65239 allocs/op
BenchmarkSIMDAnd/simd=off/data=sparse-24              	      28	   8283758 ns/op	 2468082 B/op	   65239 allocs/op
BenchmarkSIMDAnd/simd=off/data=sparse-24              	      22	   9162201 ns/op	 2468082 B/op	   65239 allocs/op
BenchmarkSIMDAnd/simd=off/data=sparse-24              	      22	   9241251 ns/op	 2468082 B/op	   65239 allocs/op
BenchmarkSIMDAnd/simd=off/data=sparse-24              	      25	   8270035 ns/op	 2468087 B/op	   65239 allocs/op
BenchmarkSIMDAnd/simd=off/data=sparse-24              	      28	   7949591 ns/op	 2468083 B/op	   65239 allocs/op
BenchmarkSIMDAnd/simd=off/data=runs-24                	    2724	     77774 ns/op	  144000 B/op	      39 allocs/op
BenchmarkSIMDAnd/simd=off/data=runs-24                	    2821	     84271 ns/op	  144000 B/op	      39 allocs/op
BenchmarkSIMDAnd/simd=off/data=runs-24                	    2805	     82890 ns/op	  144000 B/op	      39 allocs/op
BenchmarkSIMDAnd/simd=off/data=runs-24                	    3400	     85226 ns/op	  144000 B/op	      39 allocs/op
BenchmarkSIMDAnd/simd=off/data=runs-24                	    2908	     85625 ns/op	  144000 B/op	      39 allocs/op
BenchmarkSIMDAnd/simd=off/data=runs-24                	    2700	     77349 ns/op	  144000 B/op	      39 allocs/op
BenchmarkSIMDAnd/simd=off/data=runs-24                	    2952	     72313 ns/op	  144000 B/op	      39 allocs/op
BenchmarkSIMDAnd/simd=off/data=runs-24                	    3334	     78417 ns/op	  144000 B/op	      39 allocs/op
BenchmarkSIMDAnd/simd=off/data=runs-24                	    2536	     78947 ns/op	  144000 B/op	      39 allocs/op
BenchmarkSIMDAnd/simd=off/data=runs-24                	    2815	     81494 ns/op	  144000 B/op	      39 allocs/op
BenchmarkSIMDAnd/simd=off/data=zipf-24                	      55	   4069675 ns/op	  621337 B/op	    6543 allocs/op
BenchmarkSIMDAnd/simd=off/data=zipf-24                	      60	   3943341 ns/op	  621337 B/op	    6543 allocs/op
BenchmarkSIMDAnd/simd=off/data=zipf-24                	      57	   3837799 ns/op	  621339 B/op	    6543 allocs/op
BenchmarkSIMDAnd/simd=off/data=zipf-24                	      58	   3764458 ns/op	  621337 B/op	    6543 allocs/op
BenchmarkSIMDAnd/simd=off/data=zipf-24                	      57	   3907200 ns/op	  621340 B/op	    6543 allocs/op
